sensor,timestamp,moisture,below_30,day_of_week,hour_of_day,month,year,time_of_day
sensor3,2024-01-02 22:31:53.648120,0.82,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:53.648120,0.72,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:54.656170,0.64,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:54.656170,0.67,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:54.656170,0.28,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:54.656170,0.68,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:55.663580,0.85,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:55.663580,0.94,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:55.663580,0.4,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:55.663580,0.22,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:56.672068,0.08,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:56.672068,0.91,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:56.672068,0.75,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:56.672068,0.13,1,1,22,1,2024,evening
sensor1,2024-01-02 22:31:57.680356,0.33,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:57.680356,0.69,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:57.680356,0.65,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:57.680356,0.87,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:58.689260,0.63,0,1,22,1,2024,evening
sensor2,2024-01-02 22:31:58.689260,0.02,1,1,22,1,2024,evening
sensor3,2024-01-02 22:31:58.689260,0.23,1,1,22,1,2024,evening
sensor4,2024-01-02 22:31:58.689260,0.88,0,1,22,1,2024,evening
sensor1,2024-01-02 22:31:59.696913,0.08,1,1,22,1,2024,evening
sensor2,2024-01-02 22:31:59.696913,0.77,0,1,22,1,2024,evening
sensor3,2024-01-02 22:31:59.696913,0.31,0,1,22,1,2024,evening
sensor4,2024-01-02 22:31:59.696913,0.29,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:00.705734,0.46,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:00.705734,0.82,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:00.705734,0.78,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:00.705734,0.14,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:01.713429,0.48,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:01.713429,0.7,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:01.713429,0.94,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:01.713429,0.69,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:02.720873,0.21,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:02.720873,0.32,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:02.720873,0.39,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:02.720873,1.0,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:03.729846,0.22,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:03.729846,0.02,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:03.729846,0.9,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:03.729846,0.01,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:04.737038,0.76,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:04.737038,0.48,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:04.737038,0.08,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:04.737038,0.36,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:05.745260,0.86,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:05.745260,0.02,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:05.745260,0.47,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:05.745260,0.65,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:06.753056,0.15,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:06.753056,0.48,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:06.753056,0.74,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:06.753056,0.09,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:07.760003,0.63,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:07.760003,0.58,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:07.760003,0.74,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:07.760003,0.09,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:08.771878,0.85,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:08.771878,0.81,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:08.771878,0.76,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:08.771878,0.18,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:09.779433,0.47,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:09.779433,0.67,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:09.779433,0.18,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:09.779433,0.68,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:10.786825,0.47,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:10.786825,0.71,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:10.786825,0.22,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:10.786825,0.24,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:11.796426,0.47,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:11.796426,0.44,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:11.796426,0.58,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:11.796426,0.36,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:12.804150,0.35,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:12.804150,0.13,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:12.804150,0.97,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:12.804150,0.29,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:13.811400,0.21,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:13.811400,0.66,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:13.811400,0.6,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:13.811400,0.97,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:14.819135,0.56,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:14.819135,0.21,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:14.819135,0.12,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:14.819135,0.74,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:15.826981,0.88,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:15.826981,0.61,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:15.826981,0.4,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:15.826981,0.49,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:16.837138,0.01,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:16.837138,0.5,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:16.837138,0.27,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:16.837138,0.15,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:17.844756,0.78,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:17.844756,0.88,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:17.844756,0.89,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:17.844756,0.45,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:18.855310,0.17,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:18.855310,0.51,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:18.855310,0.79,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:18.855310,0.22,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:19.862680,0.25,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:19.862680,0.45,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:19.862680,0.21,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:19.862680,0.28,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:20.872346,0.67,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:20.872346,0.08,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:20.872346,0.24,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:20.872346,0.31,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:21.880545,0.58,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:21.880545,0.18,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:21.880545,0.89,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:21.880545,0.17,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:22.888275,0.18,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:22.888275,0.37,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:22.888275,0.13,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:22.888275,0.95,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:23.898016,0.52,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:23.898016,0.61,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:23.898016,0.97,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:23.898016,0.1,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:24.908281,0.91,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:24.908281,0.32,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:24.908281,0.12,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:24.908281,0.49,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:25.916470,0.43,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:25.916470,0.14,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:25.916470,0.88,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:25.916470,0.28,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:26.924241,0.26,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:26.924241,0.37,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:26.924241,0.45,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:26.924241,0.68,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:27.932238,0.78,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:27.932238,0.7,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:27.932238,0.45,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:27.932238,0.74,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:28.942247,0.05,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:28.942247,0.01,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:28.942247,0.98,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:28.942247,0.35,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:29.949992,0.1,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:29.949992,0.09,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:29.949992,0.56,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:29.949992,0.87,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:30.957872,0.16,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:30.957872,0.62,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:30.957872,0.25,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:30.957872,0.76,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:31.966372,0.73,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:31.966372,0.55,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:31.966372,0.38,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:31.966372,0.52,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:32.976548,0.56,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:32.976548,0.25,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:32.976548,0.51,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:32.976548,0.02,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:33.986446,0.78,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:33.986446,0.13,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:33.986446,0.92,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:33.986446,0.18,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:34.997986,0.81,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:34.997986,0.4,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:34.997986,0.63,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:34.997986,0.52,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:36.009440,0.42,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:36.009440,0.21,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:36.009440,0.7,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:36.009440,0.04,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:37.018241,0.36,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:37.018241,0.18,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:37.018241,0.6,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:37.018241,0.01,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:38.027095,0.18,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:38.027095,0.23,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:38.027095,0.48,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:38.027095,0.19,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:39.040507,0.59,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:39.040507,0.21,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:39.040507,0.44,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:39.040507,0.32,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:40.052061,0.57,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:40.052061,0.6,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:40.052061,0.77,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:40.052061,0.01,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:41.063615,0.16,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:41.063615,0.75,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:41.063615,0.51,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:41.063615,0.09,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:42.072135,0.4,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:42.072135,0.42,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:42.072135,0.44,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:42.072135,0.33,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:43.081172,0.97,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:43.081172,0.88,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:43.081172,0.0,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:43.081172,0.66,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:44.092446,0.71,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:44.092446,0.37,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:44.092446,0.79,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:44.092446,0.14,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:45.101361,0.58,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:45.101361,0.55,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:45.101361,0.05,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:45.101361,0.49,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:46.110021,0.13,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:46.110021,0.7,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:46.110021,0.24,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:46.110021,0.03,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:47.121087,0.73,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:47.121087,0.72,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:47.121087,0.62,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:47.121087,0.96,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:48.130640,0.43,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:48.130640,0.21,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:48.130640,0.2,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:48.130640,0.88,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:49.139194,0.27,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:49.139194,0.59,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:49.139194,0.01,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:49.139194,0.05,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:50.151153,0.03,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:50.151153,0.45,0,1,22,1,2024,evening
sensor3,2024-01-02 22:32:50.151153,0.94,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:50.151153,0.24,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:51.160073,0.91,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:51.160073,0.23,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:51.160073,0.91,0,1,22,1,2024,evening
sensor4,2024-01-02 22:32:51.160073,0.17,1,1,22,1,2024,evening
sensor1,2024-01-02 22:32:52.169632,0.5,0,1,22,1,2024,evening
sensor2,2024-01-02 22:32:52.169632,0.24,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:52.169632,0.17,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:52.169632,0.68,0,1,22,1,2024,evening
sensor1,2024-01-02 22:32:53.181563,0.27,1,1,22,1,2024,evening
sensor2,2024-01-02 22:32:53.181563,0.12,1,1,22,1,2024,evening
sensor3,2024-01-02 22:32:53.181563,0.02,1,1,22,1,2024,evening
sensor4,2024-01-02 22:32:53.181563,0.6,0,1,22,1,2024,evening
